nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Amistad,0,Truco,Encantamiento,bardo; brujo; hechicero; mago,Acción,3 m,"S, M (un poco de maquillaje)","Concentración, hasta 1 minuto","Emanas mágicamente un sentimiento de amistad hacia

una criatura que puedas ver dentro del alcance. El objetivo

deberá superar una tirada de salvación de Sabiduría

o tendrá el estado de hechizado hasta que termine el

conjuro. El objetivo la superará automáticamente si no

es un humanoide, si estás luchando contra él o si le has

lanzado este conjuro en las últimas 24 horas.

El conjuro termina antes de tiempo si el objetivo recibe

daño o si haces una tirada de ataque, causas daño u obligas

a cualquier criatura a hacer una tirada de salvación. Cuando

el conjuro termine, el objetivo sabrá que lo hechizaste.",ok,
Animar a los Muertos,3,Nivel 3,Nigromancia,clérigo; mago,1 minuto,3 m,"V, S, M (una gota de sangre, un pedazo",Instantáneo,"de carne y una pizca de polvo de hueso)

Elige un montón de huesos o un cadáver de un humanoide

Mediano o Pequeño dentro del alcance. El objetivo se

convierte en una criatura muerta viviente: un esqueleto si

eliges un montón de huesos o un zombi si eliges un cadáver

(consulta los perfiles de las criaturas en el apéndice B).

En cada uno de tus turnos, puedes usar una acción

adicional para dar órdenes mentalmente a cada criatura

que hayas creado con el conjuro que esté a 18 m o menos

de ti (si controlas a varias criaturas, puedes dar órdenes

a cualesquiera de ellas a la vez transmitiéndole la misma

orden a cada una). Tú decides qué acción llevará a cabo la

criatura y adónde se moverá en su siguiente turno, o puedes

dar una orden general, como proteger una cámara o un

pasadizo. Si no das ninguna orden, la criatura hace la acción

de esquivar y solo se mueve para evitar peligros. En cuanto

se le dé una orden, la criatura la cumplirá hasta completar

su tarea.

La criatura estará bajo tu control durante 24 horas, tras

las cuales dejará de obedecer cualquier orden que le hayas

dado. Para mantener el control sobre ella otras 24 horas,

deberás volver a lanzarle este conjuro antes de que acabe

el periodo actual de 24 horas. Este uso del conjuro refuerza

tu control sobre hasta cuatro criaturas que hayas animado

con él y no anima una nueva criatura.

Con un espacio de conjuro de nivel superior. Animas

o refuerzas el control sobre dos criaturas muertas vivientes

adicionales por cada nivel de conjuro por encima de 3 que

tenga el espacio. Cada una de las criaturas debe proceder

de un cadáver o un montón de huesos distinto.",pendiente,
Animar Objetos,5,Nivel 5,Transmutación,bardo; hechicero; mago,Acción,36 m,"V, S","Concentración, hasta 1 minuto","Tus órdenes hacen que los objetos cobren vida. Elige una

cantidad de objetos no mágicos dentro del alcance que no

vista ni lleve nadie, que no estén fijos en una superficie y que

no sean Gargantuescos. La cantidad máxima de objetos es

igual a tu modificador por aptitud mágica. A estos efectos,

un objetivo Mediano o más pequeño cuenta como un objeto,

un objetivo Grande cuenta como dos y un objetivo Enorme

cuenta como tres.

Cada objetivo se animará, le crecerán patas, se convertirá

en un autómata que emplea el perfil de un objeto animado

y permanecerá bajo tu control hasta que el conjuro termine

o hasta que sus puntos de golpe se reduzcan a O. Cada

criatura que crees con este conjuro se considera una aliada

para tus aliados y para ti. En combate, comparte tu orden

de iniciativa y su turno va justo después del tuyo.

Hasta que el conjuro termine, puedes usar una acción

adicional para dar órdenes mentalmente a cada criatura

que hayas creado con el conjuro que esté a 150 m o menos

de ti (si controlas a varias criaturas, puedes dar órdenes

a cualesquiera de ellas a la vez transmitiéndole la misma

orden a cada una). Si no das ninguna orden, la criatura

hace la acción de esquivar y solo se mueve para evitar

peligros. Cuando los puntos de golpe de la criatura se

reduzcan a 0, recuperará su forma de objeto y cualquier

daño sobrante se aplicará a esa forma.

Con un espacio de conjuro de nivel superior. El daño

del golpe de la criatura aumenta en 1d4 (Mediana o más

pequeña), 1d6 (Grande) o 1412 (Enorme) por cada nivel

por encima de 5 que tenga el espacio.

li BRASERO AFECTADO POR

EL CONJURO ANIMAR OBJETOS

o

Autómata Enorme o más pequeño, sin alineamiento

| CA: 15

| PG: 10 (Mediano o más pequeño), 20 (Grande), 40 (Enorm

Velocidad: 9 m

MOD. SAL.            MOD. SALV.            MO

Fue 16 +3       +3    Des10+0       +0     CoNnl0 +0

INT 3 -=4       -4    Sab 3 -4      -4     Car     1-5

Inmunidades: psíquico, veneno; asustado, cansancio,

envenenado, hechizado, paralizado

Sentidos: visión ciega 9 m, Percepción pasiva 6

Idiomas: entiende los idiomas que conozcas

VD: ninguno (0 PX; BC igual a tu bonificador por compet

ACCIONES

| Golpe. Tirada de ataque cuerpo a cuerpo: bonificador i

| atu modificador de ataque de conjuros, alcance 1,5 m.

| Acierto: daño de fuerza igual a 1d4 + 3 (Mediano o más

| pequeño), 2d6 + 3 + tu modificador por aptitud mágica

l (Grande) o 2d12 + 3 + tu modificador por aptitud

| mágica (Enorme).",pendiente,
Antipatía/Simpatía,8,Nivel 8,Encantamiento,bardo; druida; mago,1 hora                                                  |,18 m                                                          |,"V, S, M (una mezcla de vinagre y miel)                        |",10 días,"Mientras lanzas el conjuro, elige si crea antipatía o simpatía             |

y haz objetivo a una criatura u objeto de tamaño Enorme                    |

o más pequeño. A continuación, selecciona un tipo de

criatura, como dragones rojos, goblins o vampiros.

Las criaturas del tipo elegido harán una tirada de salvación

de Sabiduría cuando se acerquen a 36 m o menos del

objetivo. La elección de antipatía o simpatía determina

lo que le sucede a una criatura si falla la salvación:

Antipatía. La criatura tiene el estado de asustada y deberá

utilizar su movimiento en sus turnos para alejarse lo

máximo posible del objetivo por la ruta más segura.

Simpatía. La criatura tiene el estado de hechizada y deberá

utilizar su movimiento en sus turnos para acercarse

lo máximo posible al objetivo por la ruta más segura.

Si la criatura se encuentra a 1,5 m o menos del objetivo,

no podrá alejarse de él voluntariamente. Si el objetivo

daña a la criatura hechizada, esta podrá hacer una tirada

de salvación de Sabiduría para poner fin al efecto, como

se describe a continuación.

Poner fin al efecto. Si la criatura asustada o hechizada

termina su turno a más de 36 m del objetivo, deberá

hacer una tirada de salvación de Sabiduría. Si la supera,

dejará de verse afectada por el objetivo. Las criaturas que

)]           superen la tirada de salvación contra este efecto serán

inmunes a él durante 1 minuto y después podrán verse

|       afectadas otra vez.

e)",pendiente,
Apariencia,5,Nivel 5,Ilusionismo,bardo; hechicero; mago,Acción,9 m,"V, S",8 horas,"Le das una apariencia ilusoria a cada criatura de tu elección que puedas ver dentro del alcance. Un objetivo no voluntario puede hacer una tirada de salvación de Carisma y, si la supera, el conjuro no le afectará.

Puedes dar la misma apariencia o una distinta a cada objetivo, así como cambiar el aspecto de sus cuerpos y equipo. Puedes hacer que cada criatura parezca 30 cm más alta o más baja y de complexión más pesada o ligera. Un nuevo aspecto debe tener la misma configuración básica de miembros que el objetivo, aunque en el resto de aspectos, la ilusión queda a tu elección y permanecerá hasta que el conjuro termine.

Los cambios realizados por este conjuro pueden descubrirse mediante una inspección física. Por ejemplo, si usas este conjuro para añadir un sombrero a la vestimenta de una criatura, los objetos atravesarán el sombrero. Si una criatura emplea la acción de estudiar para examinar a un objetivo, podrá hacer una prueba de Inteligencia (Investigación) contra tu CD de salvación de conjuros. Si la supera, sabrá que el objetivo está disfrazado.",pendiente,
Arma Elemental,3,Nivel 3,Transmutación,druida; explorador; paladín,Acción,Toque,"V, S","Concentración, hasta 1 hora","Un arma no mágica que toques se convierte en mágica.

Elige uno de los siguientes tipos de daño: ácido, frío

relámpago o trueno. Mientras dure el conjuro, el arma

tiene un bonificador de +1 a las tiradas de ataque y c

1d4 de daño adicional del tipo elegido cuando acierte.

Con un espacio de conjuro de nivel superior. Si usas

espacio de conjuro de niveles 5 o 6, el bonificador a

tiradas de ataque aumenta en +2 y el daño adicional

aumenta a 2d4. Si usas un espacio de conjuro de nivel

o superior, el bonificador aumenta a +3 y el daño adic

aumenta a 3d4.

ESPIRITUAL EN UN COMBATE CONTRA UNA

MOLE SOMBRÍA

aminar",pendiente,
Arma Espiritual,2,Nivel 2,Evocación,clérigo,Acción adicional,18 m,"V, S","Concentración, hasta 1 minuto","Creas una fuerza espectral flotante con el aspecto de un

arma de tu elección que permanece hasta que termine

el conjuro. La fuerza aparece dentro del alcance en un

espacio de tu elección y puedes hacer inmediatamente un

ataque de conjuro cuerpo a cuerpo contra una criatura

que esté a 1,5 m o menos de ella. Si acierta, el objetivo

, fuego,   recibe una cantidad de daño de fuerza igual a 148 más

tu modificador por aptitud mágica.

ausa          Como acción adicional en tus siguientes turnos, puedes

mover la fuerza hasta 6 m y repetir el ataque contra una

un        criatura que esté a 1,5 m o menos de ella.

las           Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d8 por cada nivel por encima de 2 que tenga

7          el espacio.

ional

Un BRUJO GOLIAT LANTA ARMADU

AGATHYS Y BRAZOS DE HADAR PA

CONTRA ENEMIG:   E LAS PROFU",pendiente,
Arma Mágica,2,Nivel 2,Transmutación,,Acción adicional,Toque,"V, S",1 hora,"Tocas un arma no mágica. Hasta que el conjuro

termine, esa arma se convierte en un arma mágica con

un bonificador de +1 a las tiradas de ataque y de daño.

El conjuro termina antes si lo vuelves a lanzar.

Con un espacio de conjuro de nivel superior. El bonificado

aumenta a +2 si utilizas un espacio de niveles 3 a 5.

El bonificador aumenta a +3 si utilizas un espacio de nivel

o superior.",ok,
Armadura de Agathys,1,Nivel 1,Abjuración,brujo,Acción,Lanzador,"V, S, M (un trozo de piel curtida)",8 horas RA DE RA LUCHAR NDIDADES.,"Una escarcha mágica protectora te rodea y ganas 5 puntos

de golpe temporales. Si una criatura te acierta con una

tirada de ataque cuerpo a cuerpo antes de que el conjuro

ín)

termine, dicha criatura sufre 5 de daño de frío. El conjuro

termina antes de tiempo si no tienes puntos de golpe

temporales.

Con un espacio de conjuro de nivel superior. Los puntos

de golpe temporales y el daño de frío aumentan en 5 por

cada nivel por encima de 1 que tenga el espacio.

ARMADURA DE MAGO

r           Abjuración de nivel1 (hechicero, mago)

6           Alcance: Toque

Tocas a una criatura voluntaria que no lleve armadura.

Hasta que el conjuro termine, la CA base del objetivo pasa

a ser de 13 más su modificador por Destreza. El conjuro

termina antes si el objetivo se pone una armadura.",ok,
Asesino Fantasmal,4,Nivel 4,Ilusionismo,bardo; mago,Acción,36 m,"V, S","Concentración, hasta 1 minuto","Accedes a las pesadillas de una criatura a la que puedas

ver dentro del alcance y creas una ilusión de sus miedos

más profundos que solo ella puede ver. El objetivo hace

una tirada de salvación de Sabiduría. Si la falla, sufrirá

4d10 de daño psíquico y tendrá desventaja en las pruebas

de característica y en las tiradas de ataque hasta que

termine el conjuro. Si la supera, sufrirá la mitad de ese

daño y el conjuro terminará.

Además, hasta que termine el conjuro, el objetivo hará

una tirada de salvación de Sabiduría al final de cada uno

de sus turnos. Si la falla, volverá a sufrir el daño psíquic

Si la supera, el conjuro terminará.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d10 por cada nivel por encima de 4 que tenga

el espacio.",pendiente,
Aspectos Animales,8,Nivel 8,Transmutación,druida,Acción,9 m,"V, S",24 horas,"Elige cualquier cantidad de criaturas voluntarias que

puedas ver dentro del alcance. Todos los objetivos

cambian de forma y adoptan la de una bestia Grande

o más pequeña con un valor de desafío de 4 o menos.

Puedes elegir una forma distinta para cada objetivo.

En los siguientes turnos, puedes usar una acción de

magia para transformar de nuevo a los objetivos.

El perfil de un objetivo se sustituye por el de la bestia

elegida, pero conserva su tipo de criatura, sus puntos

de golpe, sus dados de puntos de golpe, su alineamiento,

su capacidad para comunicarse y sus puntuaciones

de Inteligencia, Sabiduría y Carisma. Las acciones del

objetivo se ven limitadas por la anatomía de la forma de

bestia y no puede lanzar conjuros. El equipo del objetivo

se funde con su nueva forma y no podrá usarlo mientras

esté en dicha forma.

El objetivo obtiene una cantidad de puntos de golpe

temporales igual a los puntos de golpe de la primera

forma que adopte. Estos puntos de golpe temporales se

desvanecerán si conserva alguno cuando el conjuro termine.

La transformación dura hasta que el conjuro termine

O hasta que el objetivo le ponga fin como acción adicional.",pendiente,
Atadura Planar,5,Nivel 5,Abjuración,bardo; brujo; clérigo; druida; mago,1 hora,18 m,"V, S, M (una joya que valga al menos",24 horas,"1000 po y que se consume como parte del conjuro)

Intentas obligar a un celestial, un elemental, un feérico

o un infernal a servirte. La criatura debe estar dentro

del alcance durante todo el tiempo de lanzamiento del

conjuro (por lo general, primero se invoca a la criatura

en el centro de un conjuro círculo mágico invertido para

atraparla mientras se lanza el conjuro). Al finalizar el

lanzamiento, el objetivo deberá superar una tirada de

salvación de Carisma o se verá obligado a servirte hasta

que termine el conjuro. Si la criatura se ha invocado

o.   o creado mediante otro conjuro, la duración de dicho

conjuro se amplía hasta ser igual que la de este.

Una criatura obligada deberá seguir tus órdenes lo mejor

que pueda. Puedes ordenarle que te acompañe en una

aventura, que proteja un lugar o que entregue un mensaje.

Si la criatura es hostil, hará lo posible para retorcer el

significado de tus órdenes y así lograr sus propios objetivos.

Si la criatura lleva a cabo tus órdenes en su totalidad

antes de que termine el conjuro, viajará hasta ti para

comunicártelo si estáis en el mismo plano de existencia.

Si estás en un plano distinto, regresará al lugar en el que

la ataste y permanecerá allí hasta que el conjuro termine.

Con un espacio de conjuro de nivel superior. La duración

aumenta con un espacio de nivel 6 (10 días), 7 (30 días),

8 (180 días) y 9 (366 días).",pendiente,
Augurio,2,Nivel 2,Adivinación,clérigo; druida; mago,1 minuto o un ritual,Lanzador,"V, S, M (palitos, huesos, cartas u otros abalorios",Instantáneo,"marcados de forma especial que valgan al menos 25 po)

Obtienes un presagio de una entidad de otro mundo

sobre los resultados de un curso de acción que planees

llevar a cabo en los próximos 30 minutos. Tu DM elige

el presagio de la siguiente tabla.

PRESAGIOS

Presagio                Para los resultados que sean...

Fortuna                 Buenos

Desdicha                Malos

Fortuna y desdicha      Buenos y malos

Indiferencia            Ni buenos ni malos

El conjuro no tiene en cuenta las circunstancias que puedan

alterar los resultados, como lanzar otros conjuros.

Si lanzas el conjuro más de una vez antes de finalizar

un descanso largo, hay una posibilidad acumulativa del

25 % por cada lanzamiento después del primero de que

no recibas ninguna respuesta.",pendiente,
Aura de Pureza,4,Nivel 4,Abjuración,clérigo; paladín,Acción,Lanzador,V,"Concentración, hasta 10 minutos","Un aura surge de ti en una emanación de 9 m hasta que

el conjuro termine. Mientras permanezcáis dentro, tus

aliados y tú tenéis resistencia al daño de veneno y ventaja

en las tiradas de salvación para evitar o poner fin a efecto

que provoquen los estados de asustado, aturdido, cegado,

ensordecido, envenenado, hechizado o paralizado.",pendiente,
Aura de Vida,4,Nivel 4,Abjuración,clérigo; paladín,Acción,Lanzador,V,"Concentración, hasta 10 minutos","Un aura surge de ti en una emanación de 9 m hasta que el

conjuro termine. Mientras permanezcáis dentro, tus aliados

y tú tenéis resistencia al daño necrótico y no se podrán

reducir vuestros puntos de golpe máximos. Si un aliado con

0 puntos de golpe comienza su turno en el aura, recupera

1 punto de golpe.",pendiente,
Aura de Vitalidad,3,Nivel 3,Abjuración,clérigo; druida; paladín,Acción,Lanzador,V,"Concentración, hasta 1 minuto","Un aura surge de ti en una emanación de 9 m hasta que

el conjuro termine. Cuando creas el aura y al principio de

cada uno de tus turnos mientras dure, puedes restaurar

2d6 puntos de golpe a una criatura en su interior.",pendiente,
Aura Mágica de Nystul,2,Nivel 2,Ilusionismo,mago,Acción,Toque,"V, S, M (un pequeño cuadrado de seda)",24 horas,"Con un toque, aplicas una ilusión a una criatura voluntaria

o un objeto que no lleve ni vista nadie. Las criaturas

obtienen el efecto de enmascarar y los objetos, el efecto

de aura falsa, ambos descritos a continuación. El efecto

durará hasta que termine el conjuro. Si lanzas el conjuro

a diario sobre el mismo objetivo durante 30 días, la ilusión

permanece hasta que sea disipada.

Enmascarar (criaturas). Elige un tipo de criatura que no

sea el auténtico del objetivo. Los conjuros y otros efectos

mágicos tratan al objetivo como si fuese una criatura del

tipo elegido.

Aura falsa (objetos). Cambias la forma en la que el objetivo

se revela ante conjuros y efectos mágicos que detectan las

auras mágicas, como el de detectar magia. Puedes hacer que

un objeto no mágico parezca mágico, que un objeto mágico

parezca no mágico o cambiar el aura de un objeto para que

parezca pertenecer a una escuela mágica de tu elección.

s",pendiente,
